Category 1,Category 2,Category 3,Name,PLU,Base Price,GTINs,Description,Image Links,Weight Unit,Weight,Dimension Unit,Height,Width,Length,Manufacturer Name,Manufacturer Brand,Manufacturer Address,Tax Rate,Program Eligibility,Price Unit,Sell Unit,Volume Unit,Volume,Allergens,Energy,Energy Unit,Product Traits,Wine variety,Wine vintage,Alcohol percentage,Wine styles,Country origin,Package type,Region origin,Grape variety,Tasting notes,Package Dimension Height,Package Dimension Width,Package Dimension Length,Package Dimension Unit,Package Volume,Package Volume Unit,Package Weight,Package Weight Unit,Package Count,Storage Instructions,Net Quantity Unit,Net Quantity,Serving Size Unit,Serving Size,Servings,Conversion Rate,Minimum Quantity,Maximum Quantity,Ingredients,Additives,Instruction For Use,Deposit,Added Sugar,Calcium,Carbohydrates,Chloride,Cholesterol,Fat,Fiber,Fluoride,Magnesium,Monounsaturated Fat,Polyols,Polyunsaturated Fat,Potassium,Protein,Salt,Saturated Fat,Sodium,Starch,Sugar,Trans Fat,Vitamin C,In-store price
"Deli, Dips & Cooked Meat","Pies, Pasties & Quiches",,Holland's Steak & Kidney Pie,40090005,2.02,5000242451108,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000242451108,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
"Deli, Dips & Cooked Meat","Pies, Pasties & Quiches",,Holland's Potato & Meat Pie,40090043,2.02,5000242451085,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000242451085,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
"Deli, Dips & Cooked Meat","Pies, Pasties & Quiches",,Bells 2 Steak & Gravy Pies,40090000,2.48,5011262164213,,https://asdagroceries.scene7.com/is/image/asdagroceries/5011262005059,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48
"Deli, Dips & Cooked Meat","Pies, Pasties & Quiches",,Bells Steak Pie 700g,40090001,7.52,5011262223019,,https://asdagroceries.scene7.com/is/image/asdagroceries/5011262005301,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52
Desserts,Canned & Sponge,,Ambrosia Devon Custard 4 x 125g (500g),32900007,3.12,5000354800740,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000354800740,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
Desserts,Canned & Sponge,,Ambrosia Rice Pudding 4 x 125g (500g),32900008,3.12,5000354800795,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000354800795,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
Desserts,Canned & Sponge,,Classic Creamed Rice Pudding 400g,32900009,1.03,5052449204667,,https://asdagroceries.scene7.com/is/image/asdagroceries/5052449204667,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03
Desserts,Canned & Sponge,,Mr Kipling Sponge Puddings Golden Syrup 2 x 95g,32900022,2.94,5000221506720,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000221506720,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
Desserts,Canned & Sponge,,Ambrosia Devon Custard 400g,32900010,2.02,5000354800870,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000117801847,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
Desserts,Chilled Desserts,,The Bakery 6 Bramley Apple Pies,25290083,1.64,20365646,,https://asdagroceries.scene7.com/is/image/asdagroceries/0000020365646,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64
Desserts,Chilled Desserts,,Cadbury Layers of Joy Chocolate Trifle 2 x 90g,45710012,1.86,4025500143503,,https://asdagroceries.scene7.com/is/image/asdagroceries/4025500143442,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86
Desserts,Chilled Desserts,,The Bakery Strawberry Trifle 600g,25290072,3.76,5052449513684,,https://asdagroceries.scene7.com/is/image/asdagroceries/5052449513684,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76
Desserts,Chilled Desserts,,Crème Caramel 6 x 100 (600g),45710035,2.23,5054070225721,,https://asdagroceries.scene7.com/is/image/asdagroceries/5054070225721,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23
Desserts,Chilled Desserts,,Gü Zillionaire Cheesecake (2 x 91.5g) 183g,45710039,4.72,5060023979498,,https://asdagroceries.scene7.com/is/image/asdagroceries/5060023979498,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72
Desserts,Frozen,,Chocolate Gâteau 600g,38900023,3.76,27462478,,https://asdagroceries.scene7.com/is/image/asdagroceries/0000027462478,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76
Desserts,Frozen,,Profiteroles & Chocolate Sauce 235g,38900000,2.52,5051413184660,,https://asdagroceries.scene7.com/is/image/asdagroceries/5051413087398,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52
Desserts,Frozen,,Hot Chocolate Fudge Cake 450g,38900025,2.44,5051413832530,,https://asdagroceries.scene7.com/is/image/asdagroceries/5051413831892,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44
Desserts,Frozen,,Daim Chocolate Cake with Crunchy Caramel 400g,38900007,5.02,7312930000382,,https://asdagroceries.scene7.com/is/image/asdagroceries/7312930000382,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02
Desserts,Frozen,,12 Mini Chocolate Éclairs 140g,38900001,1.88,5052449301991,,https://asdagroceries.scene7.com/is/image/asdagroceries/5052449301991,,,,,,,,,,0,,,,,,,,,HFSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88
Flowers & Gifting,Flowers,,Daffodils,43300048,1.26,6606,,https://asdagroceries.scene7.com/is/image/asdagroceries/6606,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26
Flowers & Gifting,Flowers,,Carefully Selected Isabella Bouquet,43300003,7.52,5050854439605,,https://asdagroceries.scene7.com/is/image/asdagroceries/5050854439605,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52
Flowers & Gifting,Flowers,,Carefully Selected Dyed Chrysanthemums,43300011,4.62,5050854505058,,https://asdagroceries.scene7.com/is/image/asdagroceries/5050854505058,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
Flowers & Gifting,Flowers,,Oriental Lily,43300019,6.62,5051413173930,,https://asdagroceries.scene7.com/is/image/asdagroceries/5051413173930,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62
Flowers & Gifting,Flowers,,Tickled Pink,43300004,7.52,5051413839744,,https://asdagroceries.scene7.com/is/image/asdagroceries/5051413839744,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52
